review_id,username,rating,review,like_count,tanggal,hari,bulan,tahun,jam,reply,tanggal_reply,app_version
06f4ac40-4fc6-4914-899d-48fcba59ddde,Fizzi Mohamad Ridho,1,"servernya tolong di benerin ini transaksi gua kok prosesnya lama bet, gimana dah",0,2026-05-02 13:40:14,Saturday,2026-05,2026,13:40:14,"Mohon maaf atas ketidaknyamanan yang Bapak/Ibu alami, saat ini tidak terdapat kendala pada aplikasi myBCA mohon dapat coba berkala dan pastikan jaringan stabil.
",,2.16.0
b17b6a80-d713-4fa2-b6e5-d2158c6feddf,revanndimari refanz,1,TF seabank ke bca ga masuk masuk udah dua Minggu,0,2026-05-02 08:34:40,Saturday,2026-05,2026,08:34:40,"Mohon maaf atas kendala yang Bapak/Ibu alami. Jika Rekening BCA sebagai penerima dana maka bersifat pasif, sehingga hanya dapat menunggu transaksi dikirimkan. Untuk kendala tersebut, mohon kesediaan Bapak/Ibu dapat konfirmasi kepada pihak pengirim dana agar dibantu pengecekan serta informasi lebih lanjut dari bank pengirim.",,
d92e27f6-27bf-45a0-8109-1616bd6b93d9,taufiq nuraziz,1,ngebug terussss,0,2026-05-02 08:26:15,Saturday,2026-05,2026,08:26:15,Mohon maaf atas kendala yang Bapak/Ibu alami. Saat ini tidak ada kendala penggunaan fasilitas myBCA dan dalam keadaan normal. Mohon memastikan jaringan dalam kondisi stabil. Kami sarankan Bapak/Ibu dapat mencoba secara berkala.,,2.16.0
60e9bd31-2a27-46f0-a58f-06663ff15681,dwi nugroho,1,"parahhhh, gagal terima otp padahal pulsa utama udah kesedot, malah nyalahin telko.el yang bermasalh, "" apabila telkomsel tidak bermasalah ,aplikasi kami my bca juga pastinya tidak bermasalah "" yakinnn???? tolong dibaca baik baik review user setelah update,sepertinya developer my bca yang bermasalah",0,2026-05-02 05:56:14,Saturday,2026-05,2026,05:56:14,"Mohon maaf atas ketidaknyamanan Bapak/Ibu, jika yang dimaksud terkait kode OTP yang belum diterima, mohon memastikan ketersediaan pulsa, koneksi stabil dan nomor HP aktif dan sesuai serta dipastikan tidak ada kendala pada perangkat dalam penerimaan OTP.",,
0b23eaa2-e1d3-452b-af95-379a23c3b54e,Erina Soo,1,jelek bener gangguan mulu,0,2026-05-02 05:18:20,Saturday,2026-05,2026,05:18:20,Mohon maaf atas kendala yang Bapak/Ibu alami. Saat ini tidak ada kendala penggunaan fasilitas myBCA dan dalam keadaan normal. Mohon memastikan jaringan dalam kondisi stabil. Kami sarankan Bapak/Ibu dapat mencoba secara berkala.,,
ddfef854-51b1-439d-b825-085c5ce97260,ARSAT NUR (POLE),1,"bintang 🌟 1 aja, soal nya tiap ada transaksi bayar qris atau transfer atau uang masuk nggak ada push notifikasi nya, masa harus buka aps lagi supaya cek uang masuk, fitur aktifkan notifikasi sudah di nyalakan di dlm aps maupun di pengaturan ponsel, tapi tetap aja nggak ada push notifikasi yg bunyi uang masuk atau keluar",0,2026-05-02 04:42:55,Saturday,2026-05,2026,04:42:55,"Mohon maaf atas ketidaknyamanannya, ulasan Bapak/Ibu menjadi bahan evaluasi kami guna meningkatkan layanan di masa mendatang agar kami senantiasa dapat memberikan pelayanan prima serta melayani kebutuhan perbankan Bapak/Ibu.",,2.16.0
b737751e-6be5-4750-bc1f-620b7380a252,Gemoy,1,blm tau,0,2026-05-02 04:14:54,Saturday,2026-05,2026,04:14:54,"Mohon maaf atas ketidaknyamanan Bapak/Ibu, mohon dapat informasikan detail kendala yang dimaksud agar kami informasikan lebih lanjut sesuai kebutuhan.",,2.16.0
50178778-623a-4a6b-ace9-58bde193c571,Merlin Cristina,1,"tolong dong diperbaiki. kemarin mau tf uang sempet gagal, dan masuk aplikasinya susah.",0,2026-05-02 03:19:25,Saturday,2026-05,2026,03:19:25,"Mohon maaf atas ketidaknyamanan Bapak/Ibu, untuk kendala tersebut mohon dapat menginformasikan detail gambar kendala yang dialami ke layanan X (Twitter) @HaloBCA atau Email halobca@bca.co.id atau Halo BCA Chat: akses melalui www.bca.co.id atau WhatsApp BCA 08111500998 agar dibantu lebih lanjut.",,2.14.0
500122c7-1313-4a54-ab2e-9f5914dfda04,MASEKAA A,1,aplikasi paling ribett timbang apk mbanking lainya,0,2026-05-02 02:20:59,Saturday,2026-05,2026,02:20:59,"Mohon maaf atas ketidaknyamanan Bapak/Ibu, mohon dapat informasikan detail kendala yang dimaksud agar kami informasikan lebih lanjut sesuai kebutuhan.
",,2.16.0
85d67271-bf80-4d63-a160-f8caa8ab85ff,Muhammad Fadli,1,Gimanasih mau login bcaku aja pas milih region gada +62 gada pilihan nomor Indonesia aneh,0,2026-05-02 01:48:22,Saturday,2026-05,2026,01:48:22,"Mhn maaf atas ketidaknyamanannya. Penambahan nomor HP di myBCA berlaku utk nomor HP luar negeri. Jika Bpk/Ibu menggunakan nomor HP e-Banking dgn nomor HP Indonesia yg tlh terdaftar, maka saat melakukan verifikasi tdk perlu memilih ""Tambah Nomor Handphone"", Bpk/Ibu dpt pilih nomor yg tlh terdaftar & mengikuti informasi selanjutnya.",,
